City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,san fernando,15.0286,120.6898,80.33,59,9,7.83,PH,1707180838
303,sawang daen din,17.4753,103.4575,75.88,27,0,3.29,TH,1707180838
304,belmonte,-15.8631,-38.8828,78.1,87,14,5.68,BR,1707180838
305,tahoua,14.8888,5.2692,66.18,15,100,12.66,NE,1707180838
306,tubarjal,30.4999,38.216,47.03,64,0,5.95,SA,1707180839
307,lorengau,-2.0226,147.2712,85.57,73,100,11.12,PG,1707180839
308,de aar,-30.6497,24.0123,72.77,41,0,9.8,ZA,1707180839
309,christchurch,-43.5333,172.6333,87.53,24,92,6.91,NZ,1707180723
310,pangkalanbuun,-2.6833,111.6167,80.85,84,100,3.98,ID,1707180839
311,selfoss,63.9331,-20.9971,7.29,87,4,9.46,IS,1707180752
312,lubango,-14.9172,13.4925,63.12,89,100,1.34,AO,1707180839
313,saint-pierre,-21.3393,55.4781,71.28,68,0,4.61,RE,1707180794
314,cabo san lucas,22.8909,-109.9124,81.7,34,20,11.5,MX,1707180468
315,tulun,54.5611,100.5792,-3.82,99,98,4.09,RU,1707180839
316,kruisfontein,-34.0033,24.7314,69.89,90,50,9.17,ZA,1707180840
317,gamay,12.3854,125.2979,80.51,80,100,10.87,PH,1707180840
318,tsiombe,-25.3,45.4833,71.96,93,15,6.15,MG,1707180840
319,estes park,40.3772,-105.5217,32.31,74,10,7.7,US,1707180840
320,maitum,6.0392,124.4986,76.84,89,100,2.66,PH,1707180840
321,gaalkacyo,6.7697,47.4308,72.79,67,96,10.25,SO,1707180840
322,st. john's,47.5649,-52.7093,34.79,97,100,21.0,CA,1707180828
323,chernyshevskiy,63.0128,112.4714,-0.69,99,100,1.5,RU,1707180569
324,long beach,33.767,-118.1892,56.97,97,100,4.0,US,1707180840
325,atar,20.5169,-13.0499,65.97,11,67,11.86,MR,1707180840
326,bamboo flat,11.7,92.7167,69.89,94,7,0.0,IN,1707180841
327,mwingi,-0.9344,38.0601,67.33,73,6,2.73,KE,1707180841
328,ploneour-lanvern,47.9,-4.2833,53.89,82,100,9.22,FR,1707180841
329,lata,40.1629,-8.3327,51.93,89,100,0.56,PT,1707180841
330,sidareja,-7.4846,108.7923,79.43,90,95,1.07,ID,1707180841
331,campos altos,-19.6961,-46.1714,64.94,91,100,0.4,BR,1707180841
332,sa'dah,16.9402,43.7639,55.36,91,11,3.42,YE,1707180841
333,bima,-8.4667,118.7167,84.58,71,35,2.01,ID,1707180841
334,kingscliff,-28.2667,153.5667,89.94,65,40,9.22,AU,1707180841
335,axim,4.8699,-2.2405,78.67,91,5,3.83,GH,1707180842
336,batticaloa,7.7102,81.6924,79.21,69,81,8.84,LK,1707180842
337,donggang,28.9365,114.2259,33.96,99,100,2.06,CN,1707180842
338,remire-montjoly,4.9167,-52.2667,80.64,89,40,2.3,GF,1707180842
339,breckenridge,32.7557,-98.9023,55.6,58,0,6.2,US,1707180842
340,kismayo,-0.3582,42.5454,79.7,84,50,12.46,SO,1707180842
341,cold lake,54.4502,-110.2017,22.95,86,100,4.61,CA,1707180842
342,san miguel,13.4833,-88.1833,78.84,75,72,2.77,SV,1707180842
343,graaff-reinet,-32.2522,24.5308,72.37,55,0,2.17,ZA,1707180843
344,nar'yan-mar,67.6713,53.087,-1.89,97,100,4.0,RU,1707180723
345,nelson,-41.2833,173.2833,76.78,45,22,6.33,NZ,1707180806
346,jacobina,-11.1806,-40.5183,71.02,92,100,3.04,BR,1707180843
347,grande prairie,55.1667,-118.8027,21.38,73,100,8.05,CA,1707180843
348,nazarovo,56.0064,90.3914,9.63,95,23,4.0,RU,1707180587
349,casper,42.8666,-106.3131,40.71,76,100,34.52,US,1707180843
350,recani,31.2846,-4.2688,47.84,38,12,4.18,MA,1707180843
351,san patricio,28.017,-97.5169,62.55,73,0,7.67,US,1707180843
352,yuzhno-kurilsk,44.0306,145.8556,21.38,60,69,12.86,RU,1707180724
353,al jawf,29.5,38.75,45.73,58,0,8.68,SA,1707180844
354,nuuk,64.1835,-51.7216,9.21,78,100,12.66,GL,1707180827
355,krasnokuts'k,50.066,35.1628,29.05,87,93,17.52,UA,1707180844
356,mancio lima,-7.6142,-72.8958,74.43,95,17,3.49,BR,1707180844
357,uthal,25.8072,66.6219,67.06,78,100,2.98,PK,1707180844
358,mili,6.0815,171.735,81.41,74,100,13.62,MH,1707180844
359,massawa,15.6097,39.45,74.98,78,100,11.12,ER,1707180844
360,susuman,62.7833,148.1667,-20.02,89,100,3.0,RU,1707180568
